At time 2, Node[1] Sending ack with number [0] , loss [no]
At time 2.5, Node[1] Sending ack with number [1] , loss [no]
At time 3, Node[1] Sending ack with number [2] , loss [no]
At time 3.5, Node[1] Sending ack with number [3] , loss [no]
At time 5, Node[1] Sending ack with number [4] , loss [no]
At time 16, Node[1] Sending ack with number [0] , loss [no]
At time 16.5, Node[1] Sending nack with number [1] , loss [no]
At time 27, Node[1] Sending ack with number [1] , loss [no]
At time 27.5, Node[1] Sending ack with number [2] , loss [no]
At time 32, Node[1] Sending ack with number [3] , loss [no]
At time 39, Node[1] Sending ack with number [4] , loss [no]
At time 39.5, Node[1] Sending ack with number [0] , loss [no]
At time 40, Node[1] Sending ack with number [1] , loss [no]
At time 40.5, Node[1] Sending ack with number [2] , loss [no]
At time 46, Node[1] Sending ack with number [3] , loss [no]
At time 53, Node[1] Sending ack with number [4] , loss [no]
At time 64, Node[1] Sending ack with number [0] , loss [no]
